,latency_est,energy_est,carbon_est,gpu_compute_est
count,979123.0,979123.0,979123.0,979123.0
mean,4.762173481779103,0.00015873911605930333,0.037303692273936304,11905.433704447756
std,21.804499468446032,0.000726816648948201,0.1708019125028272,54511.24867111507
min,0.004,1.3333333333333334e-07,3.133333333333333e-05,10.0
25%,0.3752,1.2506666666666668e-05,0.002939066666666667,938.0
50%,0.748,2.4933333333333334e-05,0.005859333333333334,1870.0
75%,1.2912,4.3039999999999994e-05,0.010114399999999997,3228.0
max,208.116,0.006937200000000001,1.630242,520290.0
