policy,request_type,avg_wait_time_s,p99_wait_time_s,max_wait_time_s,avg_slowdown,p99_slowdown,starvation_rate,requests
FCFS,Text-only,15863.571108,36288.600556,37023.911,64158.496203,602670.970321,0.998313,7704
FCFS,Light multimodal,16823.394779,36518.633,37022.7888,20937.511186,63442.109361,0.998806,8372
FCFS,Heavy multimodal,16601.339875,36531.470052,37016.3486,2939.739877,12066.20045,0.997961,3924
Static Modality Priority,Text-only,3.629773,22.773862,32.9958,14.75245,181.408725,0.278946,7704
Static Modality Priority,Light multimodal,3045.039667,4078.56451,4105.3482,3778.201349,7753.712731,0.999403,8372
Static Modality Priority,Heavy multimodal,23296.788666,36636.002264,37019.8418,4200.288188,12316.315679,1.0,3924
HWSP,Text-only,24695.200537,33013.647736,33052.8528,96702.528344,706415.008959,0.831256,7704
HWSP,Light multimodal,34251.323417,39421.244006,39444.2442,42185.66863,73337.558259,0.999403,8372
HWSP,Heavy multimodal,11501.475066,24840.688664,25224.5282,2043.991332,8199.49468,1.0,3924
