policy,avg_total_latency_s,p95_total_latency_s,p99_total_latency_s,avg_ftl_s,avg_wait_time_s,max_wait_time_s,avg_slowdown,p99_slowdown,starvation_rate,total_carbon_kg
FCFS,16412.446542,34872.47363,36478.006248,16412.37798,16410.103529,37023.911,34055.071884,438294.199522,0.99845,0.367072
HWSP,21095.225161,37598.19635,38178.603432,21095.1566,21092.882148,38304.0422,41998.263139,567282.910383,0.8492,0.367072
Static Modality Priority,5849.224743,28421.519,35502.482608,5849.156181,5846.881729,37019.8418,2411.334271,9682.632944,0.722,0.367072
2
