policy,request_type,avg_total_latency_s,avg_ftl_s,avg_wait_time_s,requests
FCFS,Text-only,45020.844429,45020.775971,45020.080042,16685
FCFS,Light multimodal,50783.772727,50783.724142,50782.888219,22503
FCFS,Heavy multimodal,53217.591366,53217.520032,53207.664833,10812
Static Modality Priority,Text-only,3.945226,3.876769,3.180839,16685
Static Modality Priority,Light multimodal,8723.786997,8723.738412,8722.902489,22503
Static Modality Priority,Heavy multimodal,67717.329925,67717.25859,67707.403391,10812
WS-MAS,Text-only,3265.764869,3265.696411,3265.000481,16685
WS-MAS,Light multimodal,3742.797932,3742.749346,3741.913423,22503
WS-MAS,Heavy multimodal,45425.968905,45425.89757,45416.042371,10812
