policy,avg_total_latency_s,p95_total_latency_s,p99_total_latency_s,avg_ftl_s,avg_wait_time_s,max_wait_time_s,avg_slowdown,p99_slowdown,starvation_rate,total_carbon_kg
FAAMS-BW,2818901.324496,4306888.92976,4332620.820563,2818901.259104,2818896.562322,4338468.5924,7658432.614918,68614007.095265,0.918756,36.524903
FCFS,1591291.836008,3948252.14346,4036065.569272,1591291.770616,1591287.073835,4057958.6416,4231278.857732,52443078.221334,0.999968,36.524903
Static Modality Priority,356640.245778,2561344.79538,3976676.56626,356640.180386,356635.483605,4057951.1478,77974.335694,762258.695509,0.636082,36.524903
