policy,avg_total_latency_s,p95_total_latency_s,p99_total_latency_s,avg_ftl_s,avg_wait_time_s,max_wait_time_s,avg_slowdown,p99_slowdown,starvation_rate,total_carbon_kg
FCFS,49386.972497,102461.43689,112889.822996,49386.912361,49384.172825,118632.6618,103271.534558,1317317.878568,0.99938,1.096538
Static Modality Priority,18570.739521,88732.13597,106058.221806,18570.679385,18567.939849,118588.7318,7857.571771,33189.36631,0.7596,1.096538
WS-MAS,12597.18089,68566.68904,95942.784442,12597.120754,12594.381218,133101.9516,4298.714545,7613.574752,0.99922,1.096538
