policy,request_type,avg_wait_time_s,p99_wait_time_s,max_wait_time_s,avg_slowdown,p99_slowdown,starvation_rate,requests
FCFS,Text-only,45020.080042,111493.857216,118631.3166,213901.540425,1773683.455624,0.999221,16685
FCFS,Light multimodal,50782.888219,111999.441956,118632.6618,65929.885475,187233.241351,0.999556,22503
FCFS,Heavy multimodal,53207.664833,115386.504774,118585.5254,10267.232063,37567.658533,0.99926,10812
Static Modality Priority,Text-only,3.180839,20.541888,32.9958,14.507444,180.56777,0.279892,16685
Static Modality Priority,Light multimodal,8722.902489,11480.829856,11509.2786,11185.828107,21864.079165,0.999778,22503
Static Modality Priority,Heavy multimodal,67707.403391,115492.479974,118588.7318,13033.83666,38187.450449,1.0,10812
WS-MAS,Text-only,3265.000481,46562.935552,76949.3996,3365.593211,7599.621591,0.998502,16685
WS-MAS,Light multimodal,3741.913423,16412.674412,69438.6734,4073.45251,7619.985596,0.999378,22503
WS-MAS,Heavy multimodal,45416.042371,115010.241956,133101.9516,6207.538168,7610.334844,1.0,10812
